,species,ID,date,SPME_start_time,SPME_stop_time,SPME_total_time,interactor,order,heptan-2-one,heptyl acetate,2-ethyl-1-4-benzoquinone,2-ethyl-1-4-hydroquinone,DLC_file,x1_crop,x2_crop,pixPerMm,timestamp_file
16,pamillia,7,20201122,129,2018,1889,alone,1,1958,3497,8702,1606,./pamillia_dlc_analysis/20201122_pamillia_spme_1_alone_cam_1_date_2020_11_22_time_09_12_56_v001DLC_resnet50_pamillia_onlyAug5shuffle1_250000.h5; ./pamillia_dlc_analysis/20201122_pamillia_spme_1_alone_cam_1_date_2020_11_22_time_09_35_50_v001DLC_resnet50_pamillia_onlyAug5shuffle1_250000.h5,160,1250,31.142857,./pamillia_dlc_analysis/20201122_pamillia_spme_1_alone_cam_1_date_2020_11_22_time_09_12_56_v001_timestamps.csv; ./pamillia_dlc_analysis/20201122_pamillia_spme_1_alone_cam_1_date_2020_11_22_time_09_35_50_v001_timestamps.csv
17,pamillia,7,20201122,194,2054,1860,5_locc_glued,2,22879766,159210,888768,48450,./pamillia_dlc_analysis/20201122_pamillia_spme_1_glued_locc_cam_1_date_2020_11_22_time_10_39_07_v001DLC_resnet50_pamillia_onlyAug5shuffle1_250000.h5,160,1255,31.285714,./pamillia_dlc_analysis/20201122_pamillia_spme_1_glued_locc_cam_1_date_2020_11_22_time_10_39_07_v001_timestamps.csv
18,pamillia,7,20201122,101,1942,1841,alone,3,2289,6324,1745,559,./pamillia_dlc_analysis/20201122_pamillia_spme_1_alone2_cam_1_date_2020_11_22_time_11_43_47_v001DLC_resnet50_pamillia_onlyAug5shuffle1_250000.h5,160,1255,31.285714,./pamillia_dlc_analysis/20201122_pamillia_spme_1_alone2_cam_1_date_2020_11_22_time_11_43_47_v001_timestamps.csv
19,pamillia,7,20201122,50,1993,1943,5_locc,4,208296523,23101612,75840334,845269,./pamillia_dlc_analysis/20201122_pamillia_spme_1_5_locc_cam_1_date_2020_11_22_time_12_42_56_v001DLC_resnet50_pamillia_onlyAug5shuffle1_250000.h5,155,1245,31.142857,./pamillia_dlc_analysis/20201122_pamillia_spme_1_5_locc_cam_1_date_2020_11_22_time_12_42_56_v001_timestamps.csv
20,pamillia,8,20201123,115,1904,1789,alone,1,23856377,11650,215370,19443,./pamillia_dlc_analysis/20201123_pamillia_spme_2_alone1_cam_1_date_2020_11_23_time_05_28_46_v001DLC_resnet50_pamillia_onlyAug5shuffle1_250000.h5,160,1250,31.142857,./pamillia_dlc_analysis/20201123_pamillia_spme_2_alone1_cam_1_date_2020_11_23_time_05_28_46_v001_timestamps.csv
21,pamillia,8,20201123,62,1893,1831,5_locc_glued,2,310853625,32010083,128217215,1582339,./pamillia_dlc_analysis/20201123_pamillia_spme_2_glued_locc_cam_1_date_2020_11_23_time_06_25_43_v001DLC_resnet50_pamillia_onlyAug5shuffle1_250000.h5,155,1245,31.142857,./pamillia_dlc_analysis/20201123_pamillia_spme_2_glued_locc_cam_1_date_2020_11_23_time_06_25_43_v001_timestamps.csv
22,pamillia,8,20201123,68,1872,1804,alone,3,4766424,4811,633556,25559,./pamillia_dlc_analysis/20201123_pamillia_spme_2_alone2_cam_1_date_2020_11_23_time_07_53_41_v001DLC_resnet50_pamillia_onlyAug5shuffle1_250000.h5,150,1245,31.285714,./pamillia_dlc_analysis/20201123_pamillia_spme_2_alone2_cam_1_date_2020_11_23_time_07_53_41_v001_timestamps.csv
23,pamillia,8,20201123,56,2068,2012,5_locc,4,523881522,34383480,149384257,2443331,./pamillia_dlc_analysis/20201123_pamillia_spme_2_5locc_cam_1_date_2020_11_23_time_08_42_25_v001DLC_resnet50_pamillia_onlyAug5shuffle1_250000.h5,165,1260,31.285714,./pamillia_dlc_analysis/20201123_pamillia_spme_2_5locc_cam_1_date_2020_11_23_time_08_42_25_v001_timestamps.csv
24,pamillia,9,20201124,0,1805,1805,alone,1,723,3074,2154,4917,./pamillia_dlc_analysis/20201124_pamillia_spme_3_alone1_cam_1_date_2020_11_24_time_06_02_34_v001DLC_resnet50_pamillia_onlyAug5shuffle1_250000.h5,160,1260,31.428571,./pamillia_dlc_analysis/20201124_pamillia_spme_3_alone1_cam_1_date_2020_11_24_time_06_02_34_v001_timestamps.csv
25,pamillia,9,20201124,58,1910,1852,5_locc_glued,2,137546914,29692806,16249060,1405577,./pamillia_dlc_analysis/20201124_pamillia_spme_3_5glued_cam_1_date_2020_11_24_time_06_54_18_v001DLC_resnet50_pamillia_onlyAug5shuffle1_250000.h5,160,1260,31.428571,./pamillia_dlc_analysis/20201124_pamillia_spme_3_5glued_cam_1_date_2020_11_24_time_06_54_18_v001_timestamps.csv
