,time
0,0.0
1,0.0400029999999999
2,0.08000599999999991
3,0.12000999999999995
4,0.160014
5,0.200017
6,0.24002
7,0.280023
8,0.32002699999999995
9,0.36002999999999996
10,0.4000339999999999
11,0.4400369999999999
12,0.48004100000000005
13,0.520045
14,0.560048
15,0.6000519999999999
16,0.6400549999999999
17,0.6800579999999999
18,0.720061
19,0.760066
20,0.800069
21,0.840072
22,0.880076
23,0.920079
24,0.960082
25,1.000086
26,1.040089
27,1.0800930000000002
28,1.1200960000000002
29,1.1601
30,1.200104
31,1.240106
32,1.28011
33,1.3201140000000002
34,1.360118
35,1.400121
36,1.440124
37,1.480127
38,1.5201310000000001
39,1.5601340000000001
40,1.6001380000000003
41,1.640142
42,1.680145
43,1.7201490000000002
44,1.7601520000000002
45,1.8001550000000002
46,1.8401589999999999
47,1.8801620000000003
48,1.920166
49,1.9601700000000002
50,2.000172
51,2.040177
52,2.0801790000000002
53,2.120183
54,2.160187
55,2.20019
56,2.2401940000000002
57,2.2801970000000003
58,2.320201
59,2.360204
60,2.400207
61,2.440211
62,2.480214
63,2.520218
64,2.560222
65,2.600224
66,2.640228
67,2.680232
68,2.720235
69,2.7602390000000003
70,2.800243
71,2.840246
72,2.88025
73,2.920252
74,2.960256
75,3.00026
76,3.040263
77,3.080267
78,3.12027
79,3.160273
80,3.200277
81,3.2402810000000004
82,3.280284
83,3.3202870000000004
84,3.360291
85,3.400295
86,3.4402980000000003
87,3.480301
88,3.5203040000000003
89,3.560308
90,3.6003119999999997
91,3.640315
92,3.6803179999999998
93,3.7203220000000004
94,3.760325
95,3.8003290000000005
96,3.840332
97,3.880336
98,3.9203400000000004
99,3.960342
100,4.0003470000000005
101,4.040349
102,4.080353
103,4.120356
104,4.16036
105,4.200364
106,4.240367
107,4.280371
108,4.320374
109,4.360378
110,4.400381
111,4.440384
112,4.4803880000000005
113,4.520391
114,4.560395
115,4.600399
116,4.640401
117,4.680405
118,4.720408
119,4.760412
120,4.800416
121,4.84042
122,4.880423
123,4.920426
124,4.96043
125,5.000433
126,5.040436
127,5.08044
128,5.120444
129,5.1604470000000005
130,5.20045
131,5.240454
132,5.280457
133,5.320461
134,5.3604650000000005
135,5.400467
136,5.440472
137,5.480475
138,5.520478
139,5.560482
140,5.600485
141,5.640489
142,5.680492
143,5.720496
144,5.760499
145,5.800503
146,5.840505
147,5.88051
148,5.920512
149,5.960516
150,6.000519
151,6.040523
152,6.080527
153,6.12053
154,6.160534
155,6.200537
156,6.240541
157,6.280545
158,6.320547
159,6.360551
160,6.4005540000000005
161,6.440557
162,6.480562
163,6.520565
164,6.560568
165,6.6005720000000005
166,6.640576
167,6.680579
168,6.720582
169,6.760585
170,6.800589
171,6.840593
172,6.880597
173,6.920599
174,6.960604
175,7.000606
176,7.04061
177,7.080614
178,7.120617
179,7.160621
180,7.200624
181,7.240628
182,7.2806310000000005
183,7.320635
184,7.360638000000001
185,7.400642
186,7.440644
187,7.4806479999999995
188,7.520651
189,7.560655
190,7.600658999999999
191,7.640662
192,7.680665
193,7.720669
194,7.7606720000000005
195,7.800676
196,7.84068
197,7.880683
198,7.920687
199,7.9606900000000005
200,8.000694
201,8.040697
202,8.080701
203,8.120702999999999
204,8.160706999999999
205,8.200709999999999
206,8.240713999999999
207,8.280717
208,8.320720999999999
209,8.360724
210,8.400727
211,8.440731999999999
212,8.480734
213,8.520738
214,8.560742
215,8.600745
216,8.640749
217,8.680753
218,8.720756
219,8.760758999999998
220,8.800763
221,8.840765999999999
222,8.88077
223,8.920772999999999
224,8.960776999999998
225,9.000779999999999
226,9.040783999999999
227,9.080786999999999
228,9.120790999999999
229,9.160794
230,9.200797999999999
231,9.240799999999998
232,9.280804999999999
233,9.320808
234,9.360812
235,9.400815
236,9.440817999999998
237,9.480822
238,9.520824999999999
239,9.560829
240,9.600831999999999
241,9.640835999999998
242,9.680838999999999
243,9.720842999999999
244,9.760845999999999
245,9.800849
246,9.840853
247,9.880856999999999
248,9.92086
249,9.960863
250,10.000867
251,10.040871
252,10.080874
253,10.120878
254,10.160881
255,10.200885
256,10.240886999999999
257,10.280890999999999
258,10.320894
259,10.360897999999999
260,10.400901999999999
261,10.440904999999999
262,10.480908999999999
263,10.520912
264,10.560915
265,10.600919
266,10.640922
267,10.680926
268,10.72093
269,10.760931999999999
270,10.800937
271,10.840938999999999
272,10.880942999999998
273,10.920947
274,10.960949999999999
275,11.000952999999999
276,11.040956999999999
277,11.08096
278,11.120963999999999
279,11.160967
280,11.20097
281,11.240974
282,11.280977
283,11.320981
284,11.360985
285,11.400989
286,11.440992
287,11.480994999999998
288,11.520999
289,11.561001999999998
290,11.601006
291,11.641008999999999
292,11.681011999999999
293,11.721015999999999
294,11.761019
295,11.801022999999999
296,11.841026999999999
297,11.881029999999999
298,11.921033
299,11.961037
300,12.001040999999999
301,12.041044
302,12.081047
303,12.121051
304,12.161055
305,12.201056999999999
306,12.241060999999998
307,12.281065
308,12.321067999999999
309,12.361070999999999
310,12.401074999999999
