,frame_inds,all_dists,blob_points_x,blob_points_y
0,1000,267.7990198919327,790,237
1,1001,263.9703536839718,790,237
2,1002,252.484014752267,790,237
3,1003,245.45434678959438,790,237
4,1004,234.2307686288444,790,237
5,1005,237.8526331736179,790,237
6,1006,237.01052154843782,471,439
7,1007,237.78221686807993,790,237
8,1008,238.07150746334386,790,237
9,1009,225.67376319185934,790,237
10,1010,223.58768653513965,790,237
11,1011,224.76237654263824,477,439
12,1012,207.60401693697762,507,444
13,1013,198.10149157400005,556,448
14,1014,185.87213457746012,570,449
15,1015,173.6659248509869,570,449
16,1016,158.15895599160277,570,449
17,1017,139.27519240707466,575,450
18,1018,118.89161408375863,575,450
19,1019,110.01001964922418,579,451
20,1020,113.81074570187091,579,451
21,1021,116.01749414810288,579,451
22,1022,101.08969819890422,579,451
23,1023,86.82587704074817,579,451
24,1024,79.4631074923767,583,453
25,1025,77.05506543064192,579,451
26,1026,73.5862384778698,579,451
27,1027,64.59235275930574,575,450
28,1028,59.80930887467704,571,449
29,1029,47.6563992404946,570,449
30,1030,53.334508991011674,570,449
31,1031,59.95094500270555,567,449
32,1032,60.99427689910229,570,449
33,1033,63.98498338091635,576,450
34,1034,67.5498146817844,582,452
35,1035,83.02219695744947,591,457
36,1036,98.67287104837084,591,457
37,1037,125.7050825171235,595,461
38,1038,123.06156241881705,807,331
39,1039,111.98331805848876,808,333
40,1040,106.81490114806151,811,339
41,1041,109.98293046265843,811,339
42,1042,116.30594734941428,811,339
43,1043,116.0901952936875,811,339
44,1044,113.52538027665285,811,339
45,1045,111.08863787539995,808,333
46,1046,116.81749925330078,811,339
47,1047,119.82543926417972,811,339
48,1048,123.05623416736634,827,356
49,1049,130.41554283244173,827,356
50,1050,132.47609892711347,830,359
51,1051,136.31404604370104,830,359
52,1052,141.86850401959526,603,479
53,1053,151.83205979030035,603,479
54,1054,155.2476746149284,603,479
55,1055,153.98215360168967,603,479
56,1056,147.03370655108824,830,359
57,1057,131.64771216867987,830,359
58,1058,119.91886290120854,830,359
59,1059,114.63800772001646,830,359
60,1060,112.92121482057108,830,359
61,1061,107.88315003073836,830,359
62,1062,107.38895287837829,830,359
63,1063,104.85192744697348,830,359
64,1064,100.89111669798174,830,359
65,1065,106.55178563534079,828,357
66,1066,92.89924045054451,832,360
67,1067,82.78080216960676,833,360
68,1068,77.34631001178099,832,360
69,1069,63.20007061294308,840,360
70,1070,71.43814873724124,836,344
71,1071,63.05064285729423,836,344
72,1072,55.22144917573846,837,344
73,1073,46.85665592988934,837,344
74,1074,38.92815405475054,837,342
75,1075,35.7236170779783,837,341
76,1076,30.76536703879469,842,342
77,1077,23.358928618822816,844,360
78,1078,22.557626217079346,848,358
79,1079,29.675847022824886,850,356
80,1080,28.934248699507297,850,356
81,1081,29.474309000564197,850,356
82,1082,26.89778542926221,851,353
83,1083,27.34818178944753,852,351
84,1084,35.89782954963093,851,353
85,1085,39.50818272926911,851,353
86,1086,41.210702256394555,853,346
87,1087,43.47609485694323,853,346
88,1088,45.155700092572474,853,346
89,1089,47.7787585357779,853,346
90,1090,52.19027010310083,853,345
91,1091,53.250901663448985,853,345
92,1092,54.27391962861619,853,344
93,1093,54.18099632775988,853,344
94,1094,55.887565381476435,853,344
95,1095,57.46377568461064,853,344
96,1096,58.26211316141128,853,344
97,1097,57.23242443660632,853,344
98,1098,57.122241141950596,853,344
99,1099,55.7846048358702,853,344
100,1100,51.87621882242724,853,344
101,1101,51.64262141528915,853,343
102,1102,53.04879213177908,853,343
103,1103,54.062823152678824,853,343
104,1104,54.60718528500926,853,343
105,1105,56.380571518011635,853,343
106,1106,54.204992996588544,852,347
107,1107,52.9929233418671,852,347
108,1108,51.85032193958824,852,347
109,1109,55.538238946687436,851,351
110,1110,54.74475149975228,851,351
111,1111,57.68361051489069,851,351
112,1112,60.49035688693755,851,351
113,1113,62.30449782797066,850,354
114,1114,73.01192407689881,850,354
115,1115,69.5775736309183,850,354
116,1116,66.66771750051596,851,351
117,1117,63.986705069972864,850,354
118,1118,57.883297259191345,850,354
119,1119,56.19237054883135,850,353
120,1120,64.52381668650288,849,356
121,1121,63.537756911518834,849,356
122,1122,73.49098779224879,849,356
123,1123,77.02051791710127,849,356
124,1124,76.21841868457695,849,356
125,1125,75.95513695566436,848,357
126,1126,83.26505861346523,847,358
127,1127,87.51766118184425,847,358
128,1128,93.6943181355181,845,359
129,1129,94.77851303833452,845,359
130,1130,95.69608828605587,845,359
131,1131,97.90914727894773,845,359
132,1132,98.24224685274686,845,359
133,1133,92.80142253491258,845,359
134,1134,92.39602345866055,843,360
135,1135,98.24541103635369,843,360
136,1136,99.72708561131022,843,360
137,1137,98.49216073487742,839,361
138,1138,100.37970142381329,838,361
139,1139,104.63091335399203,839,361
140,1140,111.0052331817005,838,361
141,1141,119.02247024089272,838,361
142,1142,132.65795742900164,834,360
143,1143,150.84209025809463,834,360
144,1144,166.01247826541416,606,483
145,1145,165.5930002072021,606,482
146,1146,168.91831439669886,605,484
147,1147,164.84424236470406,605,484
148,1148,158.1514453062607,605,484
