,frame_inds,all_dists,blob_points_x,blob_points_y
0,1550,221.49788427392767,549,338
1,1551,221.39120724020484,548,339
2,1552,222.4778980319427,551,337
3,1553,219.96179194075262,550,340
4,1554,214.46493325110782,554,343
5,1555,213.51832196444244,555,343
6,1556,213.9166755877591,555,343
7,1557,214.33191342686817,553,344
8,1558,214.35856972150623,553,344
9,1559,214.16348438647086,553,344
10,1560,213.2293955617556,553,344
11,1561,211.75057068129865,552,345
12,1562,212.63808257081774,554,344
13,1563,212.16955749032243,555,343
14,1564,211.39448937704617,552,346
15,1565,213.72212503214274,553,344
16,1566,212.66365953556468,550,347
17,1567,212.6846132519457,550,347
18,1568,213.08811798609443,552,346
19,1569,213.23278330694325,553,345
20,1570,213.51977577488756,551,346
21,1571,213.853229374175,556,343
22,1572,213.83433294487799,551,346
23,1573,213.88572871190064,557,343
24,1574,214.21822113074253,557,343
25,1575,213.81541903889516,551,346
26,1576,214.15369067920864,556,343
27,1577,214.68493660104593,556,343
28,1578,215.22008418399164,555,343
29,1579,215.45056493177958,554,344
30,1580,215.76252119797908,556,343
31,1581,216.16441820930984,557,342
32,1582,215.66923383608702,559,342
33,1583,216.36133977468197,560,341
34,1584,216.65072133377555,553,344
35,1585,217.65756429796082,561,340
36,1586,217.53932769901874,554,343
37,1587,217.12984991765856,551,345
38,1588,216.82869343453928,551,345
39,1589,216.46583613922252,551,345
40,1590,216.3961579723402,551,345
41,1591,216.37473452150684,551,345
42,1592,216.79889084011955,562,339
43,1593,216.52275939587815,560,340
44,1594,216.10429884877124,552,344
45,1595,215.257102423679,550,346
46,1596,216.19451321455944,550,345
47,1597,215.71766409490294,550,345
48,1598,216.45343606208544,550,345
49,1599,219.71979202705472,555,339
50,1600,217.58463566328388,551,344
51,1601,217.4451699099671,551,344
52,1602,220.68126823476354,555,339
53,1603,220.3356503844652,555,339
54,1604,221.35768988567804,555,338
55,1605,221.6117439961884,553,338
56,1606,222.04924082584523,554,337
57,1607,223.09149960544275,545,341
58,1608,223.21260474286387,545,341
59,1609,224.8678388707746,544,341
60,1610,226.3768896113595,546,339
61,1611,227.19014402206864,547,338
62,1612,229.23390077854464,544,337
63,1613,233.9440691616725,539,335
64,1614,233.04207200895758,542,335
65,1615,234.4578875304971,542,334
66,1616,234.1438513081022,542,334
67,1617,236.85516729257034,538,333
68,1618,237.04098523585733,538,333
69,1619,236.37382595085037,545,330
70,1620,233.93612886774852,542,334
71,1621,235.85511138512047,545,330
72,1622,263.38037773439794,545,330
73,1623,261.8256139139416,545,330
74,1624,262.3210197286121,545,330
75,1625,285.2515379420693,545,330
76,1626,259.3499593034076,542,335
77,1627,232.42879899690723,542,335
78,1628,231.5394052489908,542,335
79,1629,231.03654259906617,542,335
80,1630,230.43717257586945,542,335
81,1631,228.4717353582187,543,335
82,1632,228.19886167442772,542,336
83,1633,228.54590994587042,542,336
84,1634,228.17910608713441,542,336
85,1635,228.45454069643665,542,336
86,1636,228.6682620576841,542,336
87,1637,229.81483393891142,541,337
88,1638,227.89965730410108,541,337
89,1639,228.07472864862632,541,337
90,1640,230.15258655552446,541,337
91,1641,228.16235604861993,541,337
92,1642,229.85466737402314,541,337
93,1643,227.34850833937998,541,337
94,1644,228.27430494013853,543,335
95,1645,228.3755782893141,545,334
96,1646,226.6507676907789,540,338
97,1647,226.98732202069365,542,337
98,1648,227.1237964646543,538,339
99,1649,226.71689752569387,538,339
100,1650,225.68577009644716,544,337
101,1651,228.06306967059928,543,337
102,1652,228.54186213385321,543,337
103,1653,226.34917223497817,541,338
104,1654,225.98795837696076,541,338
105,1655,223.4417338997505,542,340
106,1656,225.20382339719703,537,340
107,1657,224.9041638359152,541,339
108,1658,224.89813315703262,540,340
109,1659,224.66242321107595,540,340
110,1660,224.13515200617735,539,341
111,1661,222.9108411644638,540,341
112,1662,222.87704408158265,540,341
113,1663,222.7915364936228,544,339
114,1664,223.00001867660012,538,342
115,1665,222.90029382830187,538,342
116,1666,222.68531155261186,538,342
117,1667,222.579378497866,538,342
118,1668,222.36604508343825,538,342
119,1669,222.50323551175697,538,342
120,1670,221.5706196914709,547,338
121,1671,220.60500732337312,634,318
122,1672,222.69547164076903,637,317
123,1673,220.76174375914778,642,318
124,1674,217.76186622451124,645,321
125,1675,215.40655633497883,648,323
126,1676,211.74845211450508,653,327
127,1677,205.34815047553175,659,335
128,1678,196.1940619144833,663,343
129,1679,193.93852307724092,664,345
130,1680,191.4846549664061,672,348
131,1681,190.39899558171444,677,350
132,1682,183.06624944680786,683,358
133,1683,178.92325351575641,684,362
134,1684,170.78305635763235,685,370
135,1685,168.41109424674303,684,372
136,1686,165.7589277599055,681,375
137,1687,161.20674692592556,678,383
138,1688,150.72677110201215,673,394
139,1689,143.87476514994728,671,400
140,1690,137.29015551986555,667,406
141,1691,125.58664483188576,665,416
142,1692,116.64080621984102,666,425
143,1693,106.97604768213105,670,435
144,1694,96.61108540207863,666,445
145,1695,92.63028414878615,661,450
146,1696,88.44981370989122,660,454
