,frame_inds,all_dists,blob_points_x,blob_points_y
0,1250,97.30326701492359,367,730
1,1251,97.23143147120437,367,730
2,1252,97.5504943254202,367,730
3,1253,97.77042024785148,367,730
4,1254,98.02067504339058,367,730
5,1255,98.25080253944273,367,730
6,1256,98.50033858439694,367,730
7,1257,98.47018948841492,367,730
8,1258,98.09278136765951,367,730
9,1259,98.04751934449608,367,730
10,1260,98.46668633778077,380,745
11,1261,97.69916372800296,366,729
12,1262,96.5222660098246,366,729
13,1263,96.84107750400379,366,729
14,1264,96.64596942690572,366,729
15,1265,97.28495867825822,380,745
16,1266,97.31923550259955,366,729
17,1267,97.25039123996423,366,729
18,1268,96.16928055919985,366,729
19,1269,96.73754554523559,366,729
20,1270,96.51317782091759,366,729
21,1271,96.17203932538159,366,729
22,1272,97.10422070862302,367,730
23,1273,96.97018365026558,367,730
24,1274,94.67886312711954,367,730
25,1275,95.90481083511699,367,730
26,1276,97.16989141328021,367,730
27,1277,97.14811816575255,367,730
28,1278,96.91165260665676,367,730
29,1279,97.32909352853633,367,730
30,1280,97.54265997580644,367,730
31,1281,97.63523230791883,367,730
32,1282,98.17595472469614,367,730
33,1283,97.75598936214624,367,730
34,1284,96.50932961183476,367,730
35,1285,98.00249040908686,367,730
36,1286,96.97533514746151,367,730
37,1287,96.03263972851046,380,745
38,1288,98.218948798869,380,745
39,1289,97.10891226049154,367,730
40,1290,96.9708795531282,367,730
41,1291,97.78728899134572,367,730
42,1292,98.72028461904947,367,730
43,1293,98.93556228666192,364,728
44,1294,98.53649829695361,364,728
45,1295,100.11562015472738,367,730
46,1296,101.40340132160262,367,730
47,1297,99.79123340287583,367,730
48,1298,100.06944861552611,364,728
49,1299,99.66910846852544,364,728
50,1300,99.85680706020705,365,730
51,1301,99.49048923653822,365,730
52,1302,98.78976578277823,365,730
53,1303,99.53062645196688,365,730
54,1304,100.30480593025067,365,730
55,1305,100.02825676564788,365,730
56,1306,100.94851969803685,365,730
57,1307,100.95635774802528,365,730
58,1308,100.88036611990739,380,745
59,1309,99.46989633453337,380,745
60,1310,98.39715489284255,380,745
61,1311,100.59182108834042,380,745
62,1312,101.63854186370199,380,745
63,1313,101.42422970561236,380,745
64,1314,102.58842006230809,380,745
65,1315,103.41027653798868,380,745
66,1316,102.72763199059192,380,745
67,1317,103.57391425805002,380,745
68,1318,104.11581792057295,380,745
69,1319,104.32266939290953,380,745
70,1320,104.66046713382629,381,745
71,1321,104.87492522671018,381,745
72,1322,104.79889762181328,381,745
73,1323,105.20730447588952,381,745
74,1324,105.59524991443044,381,745
75,1325,106.30605139076096,381,745
76,1326,106.36375966256153,381,745
77,1327,107.56555086382014,381,745
78,1328,107.32671991936105,381,745
79,1329,107.07574907192975,381,745
80,1330,106.9034532687598,381,745
81,1331,106.83343164689211,381,745
82,1332,105.7110524513868,380,745
83,1333,105.81370240440931,380,745
84,1334,105.19884797103913,380,745
85,1335,104.66768627162442,380,744
86,1336,104.39387751974994,380,744
87,1337,105.00173796448033,380,745
88,1338,104.65402071940073,380,745
89,1339,104.08279840237107,380,745
90,1340,104.65363620984384,380,745
91,1341,104.90606486379725,380,745
92,1342,105.16907823378583,380,745
93,1343,104.80275713494989,380,745
94,1344,105.3082348083691,381,745
95,1345,105.16831632696777,381,745
96,1346,105.35792549235357,381,745
97,1347,105.80233015911533,381,745
98,1348,105.38108211586501,381,745
99,1349,105.36213908453095,381,745
100,1350,105.28392293484693,381,745
101,1351,105.92296047763415,381,745
102,1352,105.26469788735213,381,745
103,1353,106.2161311166006,381,745
104,1354,107.03451949000866,381,745
105,1355,107.14191064715865,381,745
106,1356,106.88866522503525,381,745
107,1357,107.00299446404867,381,745
108,1358,106.40757613129855,381,745
109,1359,105.39018576881216,380,745
110,1360,104.7333734876164,380,745
111,1361,106.9298249919755,380,745
112,1362,105.97513842109227,380,745
113,1363,105.84368944352897,380,745
114,1364,105.1415928280954,380,745
115,1365,104.04263435397844,380,745
116,1366,103.29920094295615,380,745
117,1367,104.0209832991407,380,745
118,1368,106.29043059553786,381,745
119,1369,106.89528499411063,381,745
120,1370,106.42707411454538,381,745
121,1371,106.04415670435972,381,745
122,1372,105.22760324082431,381,745
123,1373,104.28505213330827,380,745
124,1374,104.76529368365343,380,745
