,frame_inds,all_dists,blob_points_x,blob_points_y
0,1475,114.4079180272758,578,885
1,1476,113.86632340244026,577,883
2,1477,116.90005476202289,575,883
3,1478,119.09447507556537,576,887
4,1479,117.57497138671836,578,887
5,1480,118.02869883690029,578,888
6,1481,119.71304710640223,577,890
7,1482,118.32042374157014,580,891
8,1483,116.79041314581688,583,892
9,1484,116.6483713175162,582,894
10,1485,118.27067129003527,582,896
11,1486,120.69394828338807,580,898
12,1487,124.34357636687484,576,900
13,1488,127.35110927359207,574,902
14,1489,124.63861424768244,579,904
15,1490,119.61997779692135,585,903
16,1491,115.73120628166282,591,903
17,1492,114.39999815545767,595,903
18,1493,112.35687150887878,595,901
19,1494,110.71471826211237,599,902
20,1495,110.23439058539269,599,902
21,1496,110.0866298656641,601,903
22,1497,105.10593419741606,604,900
23,1498,104.80136488406431,599,895
24,1499,102.95684759098523,606,897
25,1500,101.48660132461909,608,896
26,1501,100.49372107555915,607,894
27,1502,98.70950102417552,610,894
28,1503,97.05611975026915,610,892
29,1504,97.10772001280597,610,892
30,1505,95.39927678322432,612,891
31,1506,94.47234837008882,612,890
32,1507,94.73461960348145,612,890
33,1508,91.47645135309632,613,887
34,1509,89.4207179901433,614,885
35,1510,90.40624229439443,614,886
36,1511,89.44651331894315,613,884
37,1512,87.5965981371285,614,882
38,1513,84.23647085827514,613,879
39,1514,83.11976401475803,615,878
40,1515,84.11470068525045,615,879
41,1516,83.68365060220022,616,880
42,1517,83.48635454580148,617,880
43,1518,84.34617721797146,616,880
44,1519,84.2648640500702,614,879
45,1520,84.4948979846841,612,877
46,1521,83.71602364262596,612,877
47,1522,84.52107687137332,611,877
48,1523,86.00580058285871,611,878
49,1524,86.17382712816057,608,875
50,1525,83.19242131532424,609,873
51,1526,81.24630287280044,610,871
52,1527,79.0673936332545,611,869
53,1528,76.83250109207764,613,868
54,1529,75.5678037023946,613,867
55,1530,74.95830269735691,614,867
56,1531,74.64356326536547,615,867
57,1532,73.33521875523724,617,868
58,1533,72.89509421507266,619,869
59,1534,71.78699554078344,620,869
60,1535,72.45138311742232,621,870
61,1536,71.84306134814895,623,871
62,1537,72.69132645702703,624,872
63,1538,74.68377793037612,625,875
64,1539,75.2857747067384,626,876
